file_name	start_time	end_time	vocal_type	quality	saved_clip_name	comments
805847067.170916064815	57:01.04	57:04.51	Moan	G	805847067.170916064815_570104_570451_MO	
805847067.170916064815	57:15.55	57:16.25	Moan	G	805847067.170916064815_571555_571625_MO	
805847067.170916064815	57:16.53	57:22.58	Rumble	G	805847067.170916064815_571653_572258_RU	
805847067.170916074817	04:30.67	04:31.54	Moan	G	805847067.170916074817_043067_403154_MO	
805847067.170916074817	04:31.60	04:34.55	Rumble	G	805847067.170916074817_043160_043455_RU	
805847067.170916074817	04:34.53	04:35.02	Moan	G	805847067.170916074817_043453_043502_MO	
805847067.170916074817	04:35.01	04:38.41	Rumble	G	805847067.170916074817_043501_043841_RU	
805847067.170916074817	16:58.11	17:01.36	Rumble	G	805847067.170916074817_165811_170136_RU	
805847067.170916074817	17:05.63	17:05.98	Moan	G	805847067.170916074817_170563_170598_MO	
805847067.170916074817	17:06.01	17:09.15	Rumble	G	805847067.170916074817_170601_170915_RU	
805847067.170916074817	41:13.83	41:16.07	Rumble	E	805847067.170916074817_411383_411607_RU	
805847067.170916074817	41:16.22	41:16.79	Moan	E	805847067.170916074817_411622_411679_MO	
805847067.170916074817	41:16.83	41:19.74	Rumble	E	805847067.170916074817_411683_411974_RU	
805847067.170916074817	41:23.50	41:24.16	Moan	G	805847067.170916074817_412350_412416_MO	
805847067.170916074817	41:24.27	41:33.91	Rumble	G	805847067.170916074817_412427_413391_RU	
805847067.170916074817	50:02.77	50:03.06	Moan	P	805847067.170916074817_500277_500306_MO	
805847067.170916074817	50:03.26	50:06.24	Rumble	P	805847067.170916074817_500326_500624_RU	Not listed in original database
805847067.170916074817	51:41.55	51:42.40	Moan	G	805847067.170916074817_514155_514240_MO	
805847067.170916074817	51:42.41	51:45.88	Rumble	G	805847067.170916074817_514241_514588_RU	
805847067.170916074817	54:18.22	54:18.80	Moan	G	805847067.170916074817_541822_541880_MO	
805847067.170916074817	54:19.00	54:22.06	Rumble	G	805847067.170916074817_541900_542206_RU	
805847067.170916074817	54:22.07	54:22.63	Moan	G	805847067.170916074817_542207_542263_MO	
805847067.170916074817	54:22.95	54:27.52	Rumble	G	805847067.170916074817_542295_542752_RU	
805847067.170916074817	54:30.61	54:35.39	Rumble	G	805847067.170916074817_543061_543539_RU	
805847067.170916074817	57:46.95	57:47.32	Moan	E	805847067.170916074817_574695_574732_MO	
805847067.170916074817	57:47.46	57:50.28	Rumble	E	805847067.170916074817_574746_575028_RU	
805847067.170916084819	00:23.53	00:26.22	Moan	P	805847067.170916084819_002353_002622_MO	
805847067.170916084819	00:29.89	00:33.24	Moan	P	805847067.170916084819_002989_003324_MO	
805847067.170916084819	06:09.12	06:09.95	Moan	F	805847067.170916084819_060912_060995_MO	
805847067.170916084819	06:10.17	06:12.23	Rumble	F	805847067.170916084819_061017_061223_RU	
805847067.170916084819	10:46.15	10:48.76	Moan	P	805847067.170916084819_104615_104876_MO	
805847067.170916084819	10:57.46	10:59.78	Moan	P	805847067.170916084819_105746_105978_MO	
805847067.170916084819	13:48.97	13:50.07	Moan	P	805847067.170916084819_134897_135007_MO	Not listed in original database
805847067.170916084819	14:00.31	14:01.18	Moan	G	805847067.170916084819_140031_140118_MO	Ascending moan
805847067.170916084819	14:01.26	14:04.74	Rumble	G	805847067.170916084819_140126_140474_RU	
805847067.170916084819	14:05.59	14:06.19	Moan	G	805847067.170916084819_140559_140619_MO	
805847067.170916084819	14:06.26	14:10.30	Rumble	G	805847067.170916084819_140626_141030_RU	
805847067.170916084819	14:12.50	14:12.93	Moan	G	805847067.170916084819_141250_141293_MO	
805847067.170916084819	14:12.98	14:16.96	Rumble	G	805847067.170916084819_141298_141696_RU	
805847067.170916084819	14:20.63	14:21.03	Moan	G	805847067.170916084819_142063_142103_MO	
805847067.170916084819	14:21.22	14:25.63	Rumble	G	805847067.170916084819_142122_142563_RU	
805847067.170916084819	14:32.19	14:32.38	Moan	G	805847067.170916084819_143216_143238_MO	
805847067.170916084819	14:32.45	14:36.81	Rumble	G	805847067.170916084819_143245_143681_RU	
805847067.170916084819	14:49.28	14:49.61	Moan	F	805847067.170916084819_144928_144961_MO	
805847067.170916084819	14:49.96	14:51.18	Rumble	F	805847067.170916084819_144996_145118_RU	
805847067.170916084819	15:19.53	15:19.94	Moan	G	805847067.170916084819_151953_151994_MO	
805847067.170916084819	15:20.80	15:24.17	Rumble	G	805847067.170916084819_152080_152417_RU	
805847067.170916084819	15:24.17	15:24.65	Moan	G	805847067.170916084819_152417_152465_MO	
805847067.170916084819	18:17.51	18:18.02	Moan	E	805847067.170916084819_181751_181802_MO	
805847067.170916084819	18:18.06	18:23.92	Rumble	E	805847067.170916084819_181806_182392_RU	
805847067.170916084819	18:24.13	18:24.96	Moan	E	805847067.170916084819_182413_182496_MO	
805847067.170916084819	18:25.08	18:31.81	Rumble	E	805847067.170916084819_182508_183181_RU	
805847067.170916084819	18:32.41	18:32.99	Moan	E	805847067.170916084819_183241_183299_MO	
805847067.170916084819	18:33.08	18:36.70	Rumble	E	805847067.170916084819_183308_183670_RU	
805847067.170916084819	19:39.42	19:44.63	Rumble	E	805847067.170916084819_193942_194463_RU	
805847067.170916084819	19:44.88	19:45.63	Moan	E	805847067.170916084819_194488_194563_MO	
805847067.170916084819	19:45.69	19:53.05	Rumble	E	805847067.170916084819_194569_195305_RU	
805847067.170916084819	19:53.24	19:54.09	Moan	E	805847067.170916084819_195324_195409_MO	
805847067.170916084819	19:54.21	19:59.75	Rumble	E	805847067.170916084819_195421_195975_RU	
805847067.170916084819	20:09.78	20:10.11	Moan	G	805847067.170916084819_200978_201011_MO	
805847067.170916084819	20:10.41	20:12.99	Rumble	G	805847067.170916084819_201041_201299_RU	
805847067.170916084819	34:34.79	34:35.06	Moan	E	805847067.170916084819_343479_343506_MO	
805847067.170916084819	34:35.19	34:38.79	Rumble	E	805847067.170916084819_343519_343879_RU	
805847067.170916084819	35:29.05	35:29.54	Moan	G	805847067.170916084819_352905_352954_MO	
805847067.170916084819	35:29.59	35:32.54	Rumble	G	805847067.170916084819_352959_353254_RU	
805847067.170916084819	35:36.10	35:41.01	Rumble	G	805847067.170916084819_353610_354101_RU	
805847067.170916084819	42:30.20	42:30.77	Moan	P	805847067.170916084819_423020_423077_MO	
805847067.170916084819	42:32.62	42:35.01	Rumble	P	805847067.170916084819_423262_423501_RU	
805847067.170916084819	43:03.12	43:03.63	Moan	B	805847067.170916084819_430312_430363_MO	
805847067.170916084819	43:03.99	43:05.62	Rumble	B	805847067.170916084819_430399_430562_RU	
805847067.170916084819	43:13.09	43:13.40	Moan	B	805847067.170916084819_431309_431340_MO	
805847067.170916084819	43:13.75	43:16.22	Rumble	B	805847067.170916084819_431375_431622_RU	Not listed in original database
805847067.170916084819	43:19.50	43:19.97	Moan	B	805847067.170916084819_431950_431997_MO	
805847067.170916084819	43:20.16	43:22.43	Rumble	B	805847067.170916084819_432016_432243_RU	
805847067.170916084819	43:24.50	43:25.20	Moan	B	805847067.170916084819_432450_432520_MO	
805847067.170916084819	43:25.69	43:28.46	Rumble	B	805847067.170916084819_432569_432846_RU	
805847067.170916084819	43:40.59	43:40.90	Moan	B	805847067.170916084819_434059_434090_MO	
805847067.170916084819	43:41.18	43:43.93	Rumble	B	805847067.170916084819_434118_434393_RU	
805847067.170916084819	43:48.81	43:49.10	Moan	B	805847067.170916084819_434881_434910_MO	
805847067.170916084819	43:49.38	43:50.48	Rumble	B	805847067.170916084819_434938_435048_RU	
805847067.170916084819	43:54.56	43:55.17	Moan	B	805847067.170916084819_435456_435517_MO	
805847067.170916084819	43:55.47	43:57.59	Rumble	B	805847067.170916084819_435547_435759_RU	
805847067.170916084819	44:00.56	44:00.76	Moan	B	805847067.170916084819_440056_440076_MO	
805847067.170916084819	44:01.12	44:04.49	Rumble	B	805847067.170916084819_440112_440449_RU	
805847067.170916084819	44:10.98	44:11.44	Moan	B	805847067.170916084819_441098_441144_MO	
805847067.170916084819	44:11.76	44:13.71	Rumble	B	805847067.170916084819_441176_441371_RU	
805847067.170916084819	44:28.97	44:29.34	Moan	B	805847067.170916084819_442897_442934_MO	
805847067.170916084819	44:29.72	44:31.41	Rumble	B	805847067.170916084819_442972_443141_RU	
805847067.170916084819	44:45.40	44:46.61	Moan	P	805847067.170916084819_444540_444661_MO	
805847067.170916094821	10:39.30	10:44.23	Rumble	F	805847067.170916094821_103930_104423_RU	
805847067.170916094821	10:44.23	10:48.46	Moan	F	805847067.170916094821_104423_104846_MO	Ascending moan
805847067.170916094821	10:50.41	10:50.60	Croak	F	805847067.170916094821_105041_105060_CR	
805847067.170916094821	10:53.46	10:53.88	Croak	F	805847067.170916094821_105346_105388_CR	
805847067.170916094821	10:54.11	10:54.44	Croak	F	805847067.170916094821_105411_105444_CR	
805847067.170916094821	10:58.50	10:59.90	Moan	F	805847067.170916094821_105850_105990_MO	Ascending moan
805847067.170916094821	31:31.34	31:34.68	Rumble	G	805847067.170916094821_313134_313468_RU	
805847067.170916094821	31:41.16	31:41.63	Moan	G	805847067.170916094821_314116_314163_MO	
805847067.170916094821	31:41.94	31:48.40	Rumble	G	805847067.170916094821_314194_314840_RU	
805847067.170916094821	39:37.29	39:37.58	Moan	P	805847067.170916094821_393729_393758_MO	
805847067.170916094821	39:37.93	39:39.62	Rumble	P	805847067.170916094821_393793_393962_RU	
805847067.170916094821	39:42.71	39:43.04	Moan	P	805847067.170916094821_394271_394304_MO	
805847067.170916094821	39:43.56	39:45.95	Rumble	P	805847067.170916094821_394356_394595_RU	
805847067.170916094821	39:57.56	39:57.74	Moan	B	805847067.170916094821_395756_395774_MO	
805847067.170916094821	39:58.03	40:00.81	Rumble	B	805847067.170916094821_395803_400081_RU	
805847067.170916094821	40:05.61	40:08.43	Rumble	B	805847067.170916094821_400561_400843_RU	
805847067.170916094821	40:32.64	40:34.31	Moan	B	805847067.170916094821_403264_403431_MO	
805847067.170916094821	40:44.28	40:45.61	Rumble	B	805847067.170916094821_404428_404561_RU	
805847067.170916094821	40:57.31	40:57.58	Croak	F	805847067.170916094821_405731_405758_CR	
805847067.170916094821	41:13.61	41:13.87	Moan	P	805847067.170916094821_411361_411387_MO	
805847067.170916094821	41:14.42	41:16.24	Rumble	P	805847067.170916094821_411442_411624_RU	
805847067.170916094821	42:11.55	42:11.86	Moan	E	805847067.170916094821_421155_421186_MO	
805847067.170916094821	42:11.95	42:16.75	Rumble	E	805847067.170916094821_421195_421675_RU	
805847067.170916094821	42:18.01	42:18.59	Moan	E	805847067.170916094821_421801_421859_MO	
805847067.170916094821	42:18.64	42:25.14	Rumble	E	805847067.170916094821_421864_422514_RU	
805847067.170916104823	20:24.29	20:25.29	Groan	G	805847067.170916104823_202429_202529_GN	
805847067.170916104823	20:26.27	20:27.76	Groan	G	805847067.170916104823_202627_202776_GN	
805847067.170916104823	20:28.94	20:29.51	Groan	G	805847067.170916104823_202894_202951_GN	
805847067.170916104823	20:30.55	20:31.82	Groan	G	805847067.170916104823_203055_203182_GN	
805847067.170916104823	38:58.22	39:03.32	Rumble	E	805847067.170916104823_385822_390332_RU	
805847067.170916104823	39:03.36	39:04.11	Moan	E	805847067.170916104823_390336_390411_MO	
805847067.170916104823	39:04.20	39:07.98	Rumble	E	805847067.170916104823_390420_390798_RU	
805847067.170916104823	39:07.97	39:12.47	Moan	E	805847067.170916104823_390797_391247_MO	Ascending moan
805847067.170916104823	39:16.41	39:17.32	Growl	E	805847067.170916104823_391641_391732_GL	Gurgle
805847067.170916104823	39:20.96	39:21.64	Moan	E	805847067.170916104823_392096_392164_MO	
805847067.170916104823	39:21.69	39:22.69	Moan	E	805847067.170916104823_392169_392269_MO	Ascending moan
805847067.170916104823	39:22.68	39:23.38	Growl	E	805847067.170916104823_392268_392338_GL	Gurgle
805847067.170916114825	02:14.10	02:15.39	Moan	P	805847067.170916114825_021410_021539_MO	
805847067.170916114825	02:15.56	02:20.78	Rumble	P	805847067.170916114825_021556_022078_RU	
805847067.170916114825	02:20.79	02:22.81	Moan	P	805847067.170916114825_022079_022281_MO	Ascending moan
805847067.170916114825	02:26.20	02:26.37	Whoop	F	805847067.170916114825_022620_022637_WH	
805847067.170916114825	02:30.20	02:30.38	Whoop	F	805847067.170916114825_023020_023038_WH	
805847067.170916114825	02:31.19	02:31.75	Moan	F	805847067.170916114825_023119_023175_MO	
805847067.170916114825	02:31.80	02:32.86	Moan	F	805847067.170916114825_023180_023286_MO	Ascending moan
805847067.170916114825	02:32.85	02:35.78	Growl	F	805847067.170916114825_023285_023578_GL	Gurgle
805847067.170916114825	02:39.93	02:40.06	Whoop	B	805847067.170916114825_023993_024006_WH	
805847067.170916114825	02:41.07	02:41.64	Moan	P	805847067.170916114825_024107_024164_MO	
805847067.170916114825	02:41.76	02:43.94	Rumble	P	805847067.170916114825_024176_024394_RU	
805847067.170916114825	02:43.97	02:45.77	Moan	P	805847067.170916114825_024397_024577_MO	Ascending moan
805847067.170916114825	19:09.07	19:11.60	Moan	P	805847067.170916114825_190907_191160_MO	
805847067.170916114825	20:37.32	20:39.67	Rumble	P	805847067.170916114825_203732_203967_RU	
805847067.170916114825	20:42.14	20:48.11	Rumble	P	805847067.170916114825_204214_204811_RU	
805847067.170916114825	33:09.92	33:10.56	Moan	E	805847067.170916114825_330992_331056_MO	
805847067.170916114825	33:10.57	33:12.86	Rumble	E	805847067.170916114825_331057_331286_RU	
805847067.170916114825	44:30.92	44:31.13	Whoop	B	805847067.170916114825_443092_443113_WH	
805847067.170916114825	44:31.94	44:32.15	Whoop	F	805847067.170916114825_443194_443215_WH	
805847067.170916114825	44:32.16	44:32.35	Whoop	F	805847067.170916114825_443216_443225_WH	
805847067.170916114825	44:32.34	44:32.53	Whoop	F	805847067.170916114825_443234_443253_WH	
805847067.170916114825	44:32.57	44:32.76	Whoop	F	805847067.170916114825_443257_443276_WH	
805847067.170916114825	44:34.44	44:34.61	Moan	F	805847067.170916114825_443444_443461_MO	
805847067.170916114825	44:34.65	44:34.87	Whoop	F	805847067.170916114825_443465_443487_WH	
805847067.170916114825	44:35.41	44:35.68	Whoop	F	805847067.170916114825_443541_443568_WH	
805847067.170916114825	44:36.09	44:36.34	Whoop	F	805847067.170916114825_443609_443634_WH	
805847067.170916114825	44:36.78	44:36.97	Whoop	B	805847067.170916114825_443678_443697_WH	
805847067.170916124827	30:13.75	30:14.50	Moan	P	805847067.170916124827_301375_301450_MO	
805847067.170916124827	41:18.91	41:20.07	Moan	E	805847067.170916124827_411891_412007_MO	
805847067.170916124827	41:20.12	41:22.60	Rumble	E	805847067.170916124827_412012_412260_RU	
805847067.170916124827	41:37.87	41:38.23	Moan	E	805847067.170916124827_413787_413823_MO	
805847067.170916124827	41:38.50	41:41.06	Rumble	E	805847067.170916124827_413850_414106_RU	
805847067.170916124827	42:07.52	42:08.22	Moan	E	805847067.170916124827_420752_420822_MO	
805847067.170916124827	42:08.33	42:11.55	Rumble	E	805847067.170916124827_420833_421155_RU	
805847067.170916124827	42:15.53	42:15.92	Moan	E	805847067.170916124827_421553_421592_MO	
805847067.170916124827	42:15.98	42:19.79	Rumble	E	805847067.170916124827_421598_421979_RU	
805847067.170916124827	42:20.85	42:21.43	Moan	E	805847067.170916124827_422085_422143_MO	
805847067.170916124827	42:21.62	42:24.29	Rumble	E	805847067.170916124827_422162_422429_RU	
805847067.170916124827	42:34.06	42:36.84	Rumble	E	805847067.170916124827_423406_423684_RU	
805847067.170916124827	42:40.15	42:40.61	Moan	E	805847067.170916124827_424015_424061_MO	
805847067.170916124827	42:40.80	42:44.24	Rumble	E	805847067.170916124827_424080_424424_RU	
805847067.170916124827	42:48.65	42:49.00	Moan	E	805847067.170916124827_424865_424900_MO	
805847067.170916124827	42:49.71	42:52.72	Rumble	E	805847067.170916124827_424971_425272_RU	
805847067.170916124827	43:02.96	43:03.51	Moan	G	805847067.170916124827_430296_430351_MO	
805847067.170916124827	43:03.75	43:05.71	Rumble	G	805847067.170916124827_430375_430571_RU	
805847067.170916124827	43:11.10	43:11.81	Moan	E	805847067.170916124827_431110_431181_MO	
805847067.170916124827	43:12.00	43:15.02	Rumble	E	805847067.170916124827_431200_431502_RU	
805847067.170916134829	20:00.43	20:01.37	Moan	P	805847067.170916134829_200043_200137_MO	
805847067.170916134829	26:24.00	26:25.62	Groan	E	805847067.170916134829_262400_262562_GN	
805847067.170916134829	32:32.08	32:33.97	Groan	E	805847067.170916134829_323208_323397_GN	
805847067.170916134829	32:35.25	32:37.87	Groan	E	805847067.170916134829_323525_323787_GN	
805847067.170916134829	34:33.21	34:33.50	Croak	P	805847067.170916134829_343321_343350_CR	
805847067.170916134829	34:43.28	34:43.58	Croak	P	805847067.170916134829_344328_344358_CR	
805847067.170916134829	34:50.12	34:50.25	Whoop	F	805847067.170916134829_345012_345025_WH	
805847067.170916134829	34:51.21	34:51.36	Whoop	F	805847067.170916134829_345121_345136_WH	
805847067.170916134829	34:51.72	34:51.93	Whoop	F	805847067.170916134829_345172_345193_WH	
805847067.170916134829	34:52.00	34:52.18	Whoop	F	805847067.170916134829_345200_345218_WH	
805847067.170916134829	34:52.23	34:52.39	Whoop	F	805847067.170916134829_345223_345239_WH	
805847067.170916134829	34:52.52	34:52.66	Whoop	F	805847067.170916134829_345252_345266_WH	
805847067.170916134829	34:52.89	34:53.06	Whoop	F	805847067.170916134829_345289_345306_WH	
805847067.170916134829	34:53.52	34:54.92	Growl	P	805847067.170916134829_345352_345492_GL	Gurgle
805847067.170916144831	09:51.96	09:57.35	Rumble	B	805847067.170916144831_095196_095735_RU	
805847067.170916144831	10:02.89	10:07.34	Rumble	B	805847067.170916144831_100289_100734_RU	
805847067.170916144831	10:12.54	10:16.71	Rumble	B	805847067.170916144831_101254_101671_RU	
805847067.170916144831	50:49.02	50:49.18	Whoop	P	805847067.170916144831_504902_504918_WH	
805847067.170916144831	50:49.87	50:50.04	Whoop	P	805847067.170916144831_504987_505004_WH	
805847067.170916144831	50:50.09	50:50.24	Whoop	P	805847067.170916144831_505009_505024_WH	
805847067.170916144831	50:50.30	50:50.45	Whoop	P	805847067.170916144831_505030_505045_WH	
805847067.170916144831	50:50.53	50:50.70	Whoop	P	805847067.170916144831_505053_505070_WH	
805847067.170916144831	50:50.74	50:50.91	Whoop	P	805847067.170916144831_505074_505091_WH	
805847067.170916144831	50:51.00	50:51.15	Whoop	P	805847067.170916144831_505100_505115_WH	
805847067.170916144831	50:55.25	50:55.40	Croak	B	805847067.170916144831_505525_505540_CR	
805847067.170916154833	25:02.90	25:03.63	Croak	P	805847067.170916154833_250290_250363_CR	
805847067.170916154833	28:18.48	28:18.72	Moan	F	805847067.170916154833_281848_281872_MO	Not listed in original database
805847067.170916154833	28:18.83	28:24.80	Rumble	G	805847067.170916154833_281883_282480_RU	
805847067.170916154833	28:25.14	28:25.98	Moan	G	805847067.170916154833_282514_282598_MO	
805847067.170916154833	28:26.04	28:26.87	Moan	G	805847067.170916154833_282604_282687_MO	Ascending moan
805847067.170916154833	28:26.88	28:30.26	Growl	G	805847067.170916154833_282688_283026_GL	Gurgle
805847067.170916154833	28:31.87	28:32.17	Croak	G	805847067.170916154833_283187_283217_CR	
805847067.170916154833	28:33.07	28:33.29	Whoop	G	805847067.170916154833_283307_283329_WH	
805847067.170916154833	28:33.48	28:33.67	Whoop	G	805847067.170916154833_283348_283367_WH	
805847067.170916154833	28:33.81	28:33.94	Whoop	G	805847067.170916154833_283381_283394_WH	
805847067.170916154833	28:34.30	28:35.47	Growl	G	805847067.170916154833_283430_283547_GL	Gurgle
805847067.170916154833	28:35.85	28:36.22	Croak	G	805847067.170916154833_283585_283622_CR	
805847067.170916154833	28:37.19	28:39.85	Growl	G	805847067.170916154833_283719_283985_GL	Gurgle
805847067.170916154833	28:48.47	28:51.42	Rumble	F	805847067.170916154833_284847_285142_RU	
805847067.170916154833	38:05.65	38:06.31	Moan	F	805847067.170916154833_380565_380631_MO	
805847067.170916154833	38:06.49	38:11.11	Rumble	F	805847067.170916154833_380649_381111_RU	
805847067.170916154833	38:11.20	38:15.06	Moan	F	805847067.170916154833_381120_381506_MO	Ascending moan
805847067.170916154833	38:18.89	38:20.50	Moan	F	805847067.170916154833_381889_382050_MO	Ascending moan
805847067.170916154833	38:20.55	38:22.26	Growl	F	805847067.170916154833_382055_382226_GL	Gurgle
805847067.170916154833	38:23.29	38:23.47	Whoop	F	805847067.170916154833_382329_382347_WH	
805847067.170916154833	38:23.63	38:23.77	Whoop	F	805847067.170916154833_382363_382377_WH	
805847067.170916154833	38:23.84	38:23.98	Whoop	F	805847067.170916154833_382384_382398_WH	
805847067.170916154833	38:24.00	38:24.20	Whoop	F	805847067.170916154833_382400_382420_WH	
805847067.170916154833	42:29.62	42:30.29	Moan	E	805847067.170916154833_422962_423029_MO	Not listed in original database
805847067.170916154833	42:30.29	42:33.82	Rumble	E	805847067.170916154833_423029_423382_RU	
805847067.170916154833	42:33.85	42:34.17	Moan	G	805847067.170916154833_423385_423417_MO	Not listed in original database
805847067.170916154833	42:34.28	42:40.47	Rumble	E	805847067.170916154833_423428_424047_RU	
805847067.170916154833	42:46.77	42:46.96	Moan	E	805847067.170916154833_424677_424696_MO	
805847067.170916154833	42:47.25	42:49.72	Rumble	E	805847067.170916154833_424725_424972_RU	
805847067.170916154833	43:02.53	43:02.94	Moan	E	805847067.170916154833_430253_430294_MO	
805847067.170916154833	43:03.17	43:05.32	Rumble	E	805847067.170916154833_430317_430532_RU	
805847067.170916164835	03:36.09	03:36.44	Moan	E	805847067.170916164835_033609_033644_MO	
805847067.170916164835	03:36.54	03:42.86	Rumble	E	805847067.170916164835_033654_034286_RU	
805847067.170916164835	03:42.87	03:46.03	Moan	E	805847067.170916164835_034287_034603_MO	Ascending moan
805847067.170916164835	03:47.80	03:48.02	Whoop	E	805847067.170916164835_034780_034802_WH	
805847067.170916164835	03:48.96	03:49.92	Moan	E	805847067.170916164835_034896_034992_MO	
805847067.170916164835	03:50.07	03:55.41	Rumble	E	805847067.170916164835_035007_035541_RU	
805847067.170916164835	11:31.06	11:31.46	Moan	G	805847067.170916164835_113106_113146_MO	
805847067.170916164835	11:31.53	11:34.40	Rumble	G	805847067.170916164835_113153_113440_RU	Not listed in original database
805847067.170916164835	11:38.65	11:39.27	Moan	F	805847067.170916164835_113865_113927_MO	Ascending moan
805847067.170916164835	11:39.44	11:41.93	Rumble	F	805847067.170916164835_113944_114193_RU	
805847067.170916164835	12:00.82	12:05.07	Rumble	E	805847067.170916164835_120082_120507_RU	
805847067.170916164835	38:15.25	38:15.39	Whoop	P	805847067.170916164835_381525_381539_WH	
805847067.170916164835	38:15.40	38:15.56	Whoop	P	805847067.170916164835_381540_381556_WH	
805847067.170916164835	38:15.56	38:15.71	Whoop	P	805847067.170916164835_381556_381571_WH	
805847067.170916164835	38:15.75	38:15.88	Whoop	P	805847067.170916164835_381575_381588_WH	
805847067.170916164835	38:16.06	38:16.37	Croak	P	805847067.170916164835_381606_381637_CR	
805847067.170916164835	38:16.57	38:16.85	Croak	P	805847067.170916164835_381657_381685_CR	
805847067.170916164835	38:17.20	38:17.43	Croak	P	805847067.170916164835_381720_381743_CR	
805847067.170916164835	38:17.75	38:20.13	Growl	P	805847067.170916164835_381775_382013_GL	Gurgle
805847067.170916164835	38:22.83	38:23.00	Whoop	P	805847067.170916164835_382283_382300_WH	
805847067.170916164835	38:23.12	38:23.29	Whoop	P	805847067.170916164835_382312_382329_WH	
805847067.170916164835	38:23.32	38:23.51	Whoop	P	805847067.170916164835_382332_382351_WH	
805847067.170916164835	38:23.52	38:23.71	Whoop	B	805847067.170916164835_382352_382371_WH	
805847067.170916164835	38:23.72	38:23.94	Whoop	B	805847067.170916164835_382372_382394_WH	
805847067.170916164835	38:23.93	38:24.14	Whoop	B	805847067.170916164835_382393_382414_WH	
805847067.170916164835	38:25.59	38:25.81	Whoop	P	805847067.170916164835_382559_382581_WH	
805847067.170916164835	38:27.61	38:28.04	Croak	P	805847067.170916164835_382761_382804_CR	
805847067.170916164835	38:28.62	38:38.98	Croak	P	805847067.170916164835_382862_382898_CR	
805847067.170916164835	38:29.24	38:29.54	Croak	P	805847067.170916164835_382924_382954_CR	
805847067.170916164835	38:33.02	38:33.27	Whoop	B	805847067.170916164835_383302_383327_WH	
805847067.170916164835	38:33.79	38:34.04	Whoop	B	805847067.170916164835_383379_383404_WH	
805847067.170916164835	38:36.30	38:36.47	Whoop	P	805847067.170916164835_383630_383647_WH	
805847067.170916164835	38:37.24	38:37.39	Whoop	P	805847067.170916164835_383724_383739_WH	
805847067.170916164835	38:37.45	38:37.60	Whoop	P	805847067.170916164835_383745_383760_WH	
805847067.170916164835	38:37.65	38:37.79	Whoop	P	805847067.170916164835_383765_383779_WH	
805847067.170916164835	38:37.84	38:37.97	Whoop	P	805847067.170916164835_383784_383797_WH	
805847067.170916164835	38:38.04	38:38.18	Whoop	P	805847067.170916164835_383804_383818_WH	
805847067.170916164835	38:40.72	38:40.92	Whoop	B	805847067.170916164835_384072_384092_WH	
805847067.170916164835	38:40.97	38:41.21	Whoop	B	805847067.170916164835_384097_384121_WH	
805847067.170916164835	38:50.80	38:51.17	Moan	P	805847067.170916164835_385080_385117_MO	
805847067.170916164835	38:53.55	38:53.75	Whoop	P	805847067.170916164835_385355_385375_WH	
805847067.170916164835	38:53.80	38:53.98	Whoop	P	805847067.170916164835_385380_385398_WH	
805847067.170916164835	38:54.01	38:54.22	Whoop	P	805847067.170916164835_385401_385422_WH	
